,Q0-B,QID245,StudioLevel,"Q-S1,S","Q-S2,S","Q-S3,S","QS-P1,S","QS-P1,S_11_TEXT","QS-P1,S.1","QS-P1,S_11_TEXT.1","QS-P2,S","QS-P2,S_8_TEXT","QS-P3,S","QS-P3,S_9_TEXT","QS-P4,S_4","QE+A,V1,S,N_1","QE+A,V1,S,N_2","QE+A,V2,S,N_1","QE+A,V2,S,N_2","QE+A,V3,S,N_1","QE+A,V3,S,N_2","QE+A,V4,S,N_1","QE+A,V4,S,N_2","QE+A,V5,S,N_1","QE+A,V5,S,N_2","QE+A,All","QE+A,P1,S","QE+A,P1,S_11_TEXT","QE+A,P2,S","QE+A,P2,S_11_TEXT","QE+A,P3,S","QE+A,P4,S","QN+C,V1,S,R_1","QN+C,V1,S,R_2","QN+C,V2,S,N_1","QN+C,V2,S,N_2","QN+C,V3,S,R_1","QN+C,V3,S,R_2","QN+C,V4,S,R_1","QN+C,V4,S,R_2","QN+C,V4,S,R_1.1","QN+C,V4,S,R_2.1","QN+C,V5,S,R_1","QN+C,V5,S,R_2","QN+C,V6,S,R_1","QN+C,V6,S,R_2","QN+C,V6,S,R_1.1","QN+C,V6,S,R_2.1","QN+C,V7,S,N_1","QN+C,V7,S,N_2","QN+C,All","QN+C,P1,S","QN+C,P1,S_10_TEXT","QN+C,P1a,S","QN+C,P2,S","QN+C,P2,S","QN+C,P2aS,S","QN+C,P2a,S","QI+C,V1,S,N_1","QI+C,V1,S,N_2","QI+C,V2,S,N_1","QI+C,V2,S,N_2","QI+C,V3,S,R_1","QI+C,V3,S,R_2","QI+C,V4,N_1","QI+C,V4,N_2","QI+C,All","QI+C,P1,S","QI+C,P1,S_18_TEXT","QI+C,P2,S","QI+C,P2,S_10_TEXT","QI+C,P3,S","QI+C,P4,S","QS+U,V1,S,N _1","QS+U,V1,S,N _2","QS+U,V2,S,N_1","QS+U,V2,S,N_2","QS+U,V3,S,N_1","QS+U,V3,S,N_2","QS+U,V4,S,N_1","QS+U,V4,S,N_2","QS+U,V6,R_1","QS+U,V6,R_2","QS+U,V7,S,R_1","QS+U,V7,S,R_2","QS+U,V8,S,R_1","QS+U,V8,S,R_2","QS+U,All","QS+U,P1,S","QS+U,P1,S_10_TEXT","QS+U,P1,S.1","QS+U,P1,S_10_TEXT.1","QS+U,P2,S","QS+U,P2,S_9_TEXT","QS+U,P2,S.1","QS+U,P2,S_9_TEXT.1","QLA+BR,V1,S,N_1","QLA+BR,V1,S,N_2","QLA+BR,V2,S,R_1","QLA+BR,V2,S,R_2","QLA+BR,V3,S,N_1","QLA+BR,V3,S,N_2","QLA+BR,V3,FStaff,N_1","QLA+BR,V3,FStaff,N_2","QLA+BR,V4,S,R_1","QLA+BR,V4,S,R_2","QLA+BR,V5,S,N_1","QLA+BR,V5,S,N_2","QLA+BR,All ","LA+BR,P1,S","LA+BR,P1,S_9_TEXT","QC+D,V2,S,R_1","QC+D,V2,S,R_2","QC+D,V3,S,N_1","QC+D,V3,S,N_2","QC+D,V4,S,N_1","QC+D,V4,S,N_1_TEXT","QC+D,V4,S,N_2","QC+D,All","QC+D,P1,S","QC+D,P1,S_5_TEXT","QC+D,P2,S","QC+D,P2,S_9_TEXT","QC+CS,V1,S,N_1","QC+CS,V1,S,N_1_TEXT","QC+CS,V1,S,N_2","QC+CS,V2,S,R_1","QC+CS,V2,S,R_2","QC+CS,V3,S,R_1","QC+CS,V3,S,R_1_TEXT","QC+CS,V3,S,R_2","QC+CS,V4,R_1","QC+CS,V4,R_1_TEXT","QC+CS,V4,R_2","QC+CS,V5,N_1","QC+CS,V5,N_1_TEXT","QC+CS,V5,N_2","QC+CS,All","QC+CS,P1,S","QC+CS,P1,S_11_TEXT","QC+CS,P2a,S","QC+CSP2b,S","QT-C+E,V1,S,N_1","QT-C+E,V1,S,N_1_TEXT","QT-C+E,V1,S,N_2","QT-C+E,V2,S,R_1","QT-C+E,V2,S,R_1_TEXT","QT-C+E,V2,S,R_2","QT-C+E,V3,N_1","QT-C+E,V3,N_1_TEXT","QT-C+E,V3,N_2","QT-C+E,V4,S,R_1","QT-C+E,V4,S,R_1_TEXT","QT-C+E,V4,S,R_2","QT-C+E,V4,S,R_2_TEXT","QT+E,All","QT-C+E,P1,S","QT-C+E,P1,S_7_TEXT","QT-C+E,P2,S","QT-C+E,P3,S","QT-C+E,P4,S","QT-C+E,P4,S_11_TEXT","QT,L+C,V1,S,R_1","QT,L+C,V1,S,R_1_TEXT","QT,L+C,V1,S,R_2","QT,L+C,V2,S,R_1","QT,L+C,V2,S,R_1_TEXT","QT,L+C,V2,S,R_2","QT,L+C,V3,S,N_1","QT,L+C,V3,S,N_1_TEXT","QT,L+C,V3,S,N_2","QT-L+C,V4,S,N_1","QT-L+C,V4,S,N_1_TEXT","QT-L+C,V4,S,N_2","QT,L+C,V5,S,R _1","QT,L+C,V5,S,R _1_TEXT","QT,L+C,V5,S,R _2","QT,L+C,V6,S,R_1","QT,L+C,V6,S,R_1_TEXT","QT,L+C,V6,S,R_2","QT,L+C,V7,S,N_1","QT,L+C,V7,S,N_1_TEXT","QT,L+C,V7,S,N_2","QT-L+C,All","QT-L+C,P1,S_1","QT-L+C,P2,S","QT-L+C,P2,S_7_TEXT","QT,L+C,P3,S_1","QT,L+C,P4,S","QT,L+C,P4,S_9_TEXT","B1,All","B2,All","B2,All_10_TEXT","B3,S","B3,S_6_TEXT","B4,S","B5,S","B6,All","B7,All",QID265
5,,Student,1000 Level/ YR 1,the stress,the creativity,collaboration is more in person,"Time management,Finances,Mental Health",,,,,,"Clear explanation of design thinking,Appearance",,200,4,3,,,,,,,5,4,,,,,,,About half the time,1,3,,,,,,,,,,,,,,,1,3,,"Experimental,Rewarding,Only excellence is encouraged",,,,Somewhat agree,,,1,15,,,,,,,,I remove myself from social situations to focus on my work.,,,,"hikes, coffee and class, conversation",individual conversation with instructor,1,1,,,,,,,,,5,4,2,5,,,,,,"In consultation with the faculty lead, I can guide the purpose of the studio assignment.",,,,,,,,1,5,,,4,5,,,,"I want to better understand the instructor's interpretation of the assignment.,Different faculty encourage different aesthetic principles.",,,,1,3,,,,,"It impacts my family as well as myself, if I do not succeed",,It would be unlikely for me to include elements from my background in the project,,1,,3,,,,,,,,,,,,,,,I sometimes seek out critiques that differ from my own perspectives to change my ideas,,5,,5,,,,,,,,,,,,,,6-7,Extremely difficult,,,1,,1,,,,1,,3,,,,5,,3,,,,,,,,30,,,10,"I would dedicate time earlier to work on the project, so that I can do both.",,Female,"White, Caucasian",,Architecture,,1,No,No,Graduate Degree,
6,,Student,1000 Level/ YR 1,"Time taken up -- I completely understand the concept of studio taking up lots of time in general, but with two and a half hours of class combined with however many hours of work outside it feels inconsiderate to students with jobs, extracurriculars, etc.",Getting to be creative and meet like minded people,,"Different food,Finances,Mental Health",,,,,,"Judgment of audience,Shaky voice,Appearance",,200,3,4,,,,,,,5,5,Not all students are able to afford hundreds of dollars of supplies each semester,,,,,,Always,5,3,,,,,,,,,,,,,,,3,3,"The way my current professor sets up studio and review time makes it feel far more competitive and ""some people are just inherently better than others"" rather than just a learning experience, especially considering it's a first year studio.","Challenging,Competitive,Only excellence is encouraged",,"My professor will show ""bad"" examples of previous students that most people in my class don't actually see any problem with, or he'll nitpick very small random things that he won't really tell us about beforehand -- again, more understanable in an advanced studio but not in first year",,Somewhat agree,,My nom is an architect and I have seen how easy it is to lose a job depending on the real estate market in general at the time,13,13,,,,,,,"Again, professors set it up to be incredibly competitive",I work near my peers for solidarity in the studio or other location.,,,,"Having a studio space (except at the moment we are sharing a studio space with another class, which defers me from actually going in because I don't want to run into the other person working)",Space to work on stuff that I would not have in my room,2,4,,,,,,,,,3,3,2,3,It feels as though we are working from deadline to deadline rather than learning ,,,,,I want to better understand the instructor's interpretation of the assignment.,,,,,,,,3,3,,,2,2,,,"Randomly, there will be small things that we are unaware of that are being graded against us ","I want to meet all requirements.,I want to better understand the instructor's interpretation of the assignment.,Different faculty encourage different aesthetic principles.",,,,2,2,,,,,"It impacts my family as well as myself, if I do not succeed",,My ancestral roots don't fit into the context of the design problem at hand,,2,,3,,,,,,,,,,,,,,,I sometimes seek out critiques that differ from my own perspectives to change my ideas,,3,,5,,,,,,,,,,,The amount of times my classes have gone over time in an already lengthy class is unreasonable. ,,,3-5,Slightly difficult,,,3,,4,,,,3,,3,,,,5,,3,,,,,,,,20,,,20,I would not go to the family event and focus on the project.,,Female,"Asian,White, Caucasian,Two or more races",,Undecided,,1,No,Yes,Undergraduate Degree,"I understand that studio classes are intense, but I think that overall there needs to be more respect of a students time and effort as well as more in studio class work time,."
7,,Student,1000 Level/ YR 1,"Being in the afternoon section, I had to switch from morning studio in order to take another course, but I find that it's difficult to focus or be motivated when its so late in the afternoon.","The duration of the class. It allows us enough time to develop ideas and get focused, which leads to more productivity.","During the first two weeks of this current semester, studio was remote and it was difficult because there was barely any outside influence. In a way, those projects I produced were entirely mine - in other words, they were limited to my processing and thoughts - there was no outside help or idea generation.","Establishing a sense of belonging,Finances,Mental Health",,,,,,"Vocabulary,Judgment of audience,Knowledge of subject matter,Clear explanation of design thinking,Shaky voice",,175,4,4,,,,,,,1,1,,,,,,,Sometimes,3,3,,,,,,,,,,,,,,,3,3,"I have noticed that some students seek ""security"", (for example I have noticed this in my current afternoon section), while others seek a challenge (which I witnessed in my architecture studio last semester). It varies but I usually get along most with those who want a challenge because it also pushes me to do better.","Collaborative,Experimental,Challenging,Competitive",,"Again, it differs depending on studio. Last semester in my architecture studio, I had a great instructor who pushed me and inspired me. This semester, in my landscape architecture class I don't find that my instructor pushes me as much or teaches in an inspiring or uplifting way.",,Somewhat disagree,,"During my colloquium class last semester, a guest speaker (who ended up being awarded an ENVD award) had spoken to the freshman class about his success in getting a job upon graduation but warning us not to expect something like that nowadays due to the job market's change in expectations.",13,13,,,,,,,,I remove myself from social situations to focus on my work.,,,,"Meeting after studio and working together, just working later in the day, laugh, have fun, and work together while making projects (creates a positive, enjoyable environment)",It allows me to get inspired from other students or the instructor.,2,3,,,,,,,,,4,2,4,2,,,,,,I want the assignment to be completed to meet all requirements.,,,,,,,,4,2,,,3,3,,,,"I want to meet all requirements.,I want to meet the learning objectives.,I want to better understand the instructor's interpretation of the assignment.,I want to better understand my interpretation of the assignment.,Different faculty encourage different aesthetic principles.",,,,3,2,,,,,"It impacts my family as well as myself, if I do not succeed",,Encouragement to develop further,,2,,2,,,,,,,,,,,,,,,I consistently seek out critiques that differ from my own perspectives to change my ideas,,2,,2,,,,,,,,,,,,,,6-7,Slightly difficult,,,4,,3,,,,2,,2,,,,4,,2,,,,,,,,20,,,0,"I would dedicate time earlier to work on the project, so that I can do both.",,Female,"White, Caucasian",,Undecided,,1,No,No,Graduate Degree,
8,,Student,4000 Level/ YR 4,Class in the morning,Opportunities to learn physical modeling,There are more student interaction and feedback in-person,,,"Time management,New learning environments,Social Life",,,,"Judgment of audience,Knowledge of subject matter,Clear explanation of design thinking",,142,,,,,,,1,1,1,1,,"the professional jury,the faculty grading the assignment,another faculty member who I respect,students engaged with the project review,the friends/family that I shared the project with",,,,,,,,,,,,1,1,,,,,1,1,,,,,,"All students are encouraged to do their best,Very creative,Collaborative,Experimental,Rewarding",,It's been a very supportive studio environment.,Agree,,My past internship at a firm in Denver gives me more confidence that I'll land a job upon graduation.,,,,,,,,1,1,,,,,,Interactive feedback,It helps challenge my design thinking of any graphical design and physical modeling. ,,,,,,,,,1,1,1,1,,,,,,I go with the flow.,,,,,,,,,,1,1,,,,,1,1,,"I want to meet the learning objectives.,The goals of the studio assignment are open to interpretation.,Graphical communication is a significant determinant for the final evaluation.",,,,1,1,,,,,"My family is impacted, if I do not succeed",,Encouragement to develop further,,,,,,,,,,,,,1,,1,,"Students get good grades on the majority of the assignments.,Students observe their own progression and skills improve.,Students recognize that their abilities/perspectives are being challenged.,Students are challenged externally through the assignments, faculty, or peers.,Students see that they can dissect a problem clearly to better understand its purpose.,Students take on something new to make sure that learning more.",,I sometimes seek out critiques that differ from my own perspectives to change my ideas,,,,,,,,,,,5,,1,,,The student was still working on the project.,,0,,,,,,,,,,1,,1,,,,1,,1,1,,1,,,,,20,,,9,I would not go to the family event and focus on the project.,,Male,"Asian,White, Caucasian",,Landscape Architecture,,5 or more,No,No,Undergraduate Degree,
9,,Student,2000 Level/ YR 2,The expectations of draft models/sketches are not holding the expectation that they serve as quick studies. There was too much pressure for no reason.,Family and community engagement,Asking for help is so much easier,,,,,"Expense of models,Grades,Other",Expectations,,,,,,4,2,,,,,,,,,,,,,,,,3,2,,,,,,,3,2,,,,,,,,"Very creative,Collaborative,Challenging",,,,,,,,,4,3,,,,,,,,I take the input and offer feedback for them as well.,,,,,,,,3,2,,,,,4,2,,,,,,,,,,I want to better understand the instructor's interpretation of the assignment.,,,,4,2,2,2,,,,,,,,The goals of the studio assignment are open to interpretation.,,,,3,3,4,,2,,"It impacts my family as well as myself, if I do not succeed",,Encouragement to develop further,,,,,1,2,,,,,,,,,,,,,I consistently seek reinforcements for the present ideas,,,,,2,,2,,,,,,,,,,,1-2,,"Waiting for a desk critique,Doing design work on my computer,Modeling",,,,,2,,2,2,,2,,,,4,,2,,,,4,,2,,10,Students prefer to work in the studio and collaborate with peers.,,6,"I would dedicate time earlier to work on the project, so that I can do both.",,Male,"White, Caucasian",,Architecture,,2,No,Yes,Graduate Degree,
10,,Student,1000 Level/ YR 1,People are very loud and it makes it hard to focus especially because I have sensory issues relating to crowds and noise,I love being able to have instructors and TAs look at my process as it’s happening and give me feedback right away on my work,The ability for students and instructors to help each other simultaneously. Being in the studio in person is great for the passing of ideas,"Establishing a sense of belonging,Time management,Mental Health",,,,,,"Vocabulary,Judgment of audience,Clear explanation of design thinking,Shaky voice",,200,3,,,,,,,,5,5,,,,,,,Always,1,2,,,,,,,,,,,,,,,2,5,,"All students are encouraged to do their best,Very creative,Challenging,Other",Too Loud,,,Strongly agree,,,2,2,,,,,,,,I remove myself from social situations to focus on my work.,,,,,,1,4,,,,,,,,,1,1,5,3,,,,,,I want to better understand my interpretation of the assignment.,,,,,,,,3,3,,,2,1,,,,I want to better understand my interpretation of the assignment.,,,,1,4,,,,,"It impacts my family as well as myself, if I do not succeed",,Other,"There’s usually a lot of confusion, but I am still encouraged to develop my ideas",2,,2,,,,,,,,,,,,,,,I rarely seek reinforcements for the present ideas,,3,,3,,,,,,,,,,,,,,6-7,Extremely difficult,,,3,,3,,,,2,,3,,,,5,,4,,,,,,,,35,,,0,I would not go to the family event and focus on the project.,,Other,"White, Caucasian",,Undecided,,2,No,Yes,Post Graduate Degree,
11,,Student,4000 Level/ YR 4,The pressure to complete hours of work and research between every class. ,The community that my professor has created as a class and the valuable feedback we all give each other. ,Remote studio has no community ,,,"Time management,Expectations,Finances",,,,Clear explanation of design thinking,,200,,,,,,,1,1,4,4,the cost of software alone is very high. i often question how all of us can afford it and now we have to pay for printing and resources as well ,"the faculty grading the assignment,another faculty member who I respect,myself",,,,,,,,,,,,3,2,,,,,1,1,,,,,i have always loved how much students challenge themselves and how we kindly “compete” with each other ,"Very creative,Collaborative,Rewarding,Challenging,Only excellence is encouraged",,we are pushed very hard to be perfect in studios but it does feel good when all the hours of work pay off ,Somewhat disagree,,i don’t feel as professionally prepared with softwares due to the heavy focus we had on hand drawing my first two years ,,,,,,,,1,1,,,,,,"we do site analysis in groups, i enjoy that ",my peers give valuable feedback often as helpful as my professor ,,,,,,,,,3,3,4,2,,,,,,I get anxious because I like structure in order to know what to expect.,,,,,,,,,,5,1,,,,,1,1,,"I want to meet all requirements.,The goals of the studio assignment are open to interpretation.,In consultation with the faculty lead, I can guide the graphics of the assignment.,Graphical communication is a significant determinant for the final evaluation.",,,,1,3,,,,,"It only impacts me, if I do not succeed",,Encouragement to develop further,,,,,,,,,,,,,2,,3,,"Students get good grades on the majority of the assignments.,Students observe their own progression and skills improve.,Students recognize that their abilities/perspectives are being challenged.",,I sometimes seek out critiques that differ from my own perspectives to change my ideas,,,,,,,,,,,5,,5,,covid created a more strict turn in deadline system i have noticed ,The student had no choice. There were external factors beyond her/her control.,,3-5,,,,,,,,,,1,,3,,,,4,,3,5,,4,,,,,18,,,16,"I would dedicate time earlier to work on the project, so that I can do both.",,Female,"White, Caucasian",,Architecture,,4,No,No,Graduate Degree,
12,,Student,1000 Level/ YR 1,"Instructions and introduction of the assignment, sometimes I just want to work on a project and have to listen to instructions for a lot longer than what it needs to be. ","I enjoy desk Frits and getting good feedback, I can work on a project anywhere, but I can only get feedback in studio and that’s what’s super important to me. ","In person studio feels a lot more like a community, you can talk and get feedback from your peers which is different from online studio which feels more disconnected. ","Time management,Different food,Mental Health",,,,,,"Vocabulary,Judgment of audience,Shaky voice",,111,2,3,,,,,,,4,3,,,,,,,Sometimes,3,3,,,,,,,,,,,,,,,4,3,,"All students are encouraged to do their best,Very creative,Experimental,Challenging,Competitive",,Just what I’ve seen from students work during studio critiques. ,,Strongly agree,,My work is something I’m confident about (most of the time) and I’m networking on the side. ,14,13,,,,,,,,I remove myself from social situations to focus on my work.,,,,"Just being near people. When you’re around people doing the same stuff as you, you talk about what you’re working on with other people. ",There’s space and social ques that people follow to give you your own space. ,1,3,,,,,,,,,4,3,4,3,,,,,,I want to better understand the instructor's interpretation of the assignment.,,,,,,,,3,3,,,2,3,,,,"I want to meet all requirements.,I want to better understand my interpretation of the assignment.,The goals of the studio assignment are open to interpretation.,Different faculty encourage different aesthetic principles.",,,,2,3,,,,,"It only impacts me, if I do not succeed",,It would be unlikely for me to include elements from my background in the project,,2,,3,,,,,,,,,,,,,,,I sometimes seek out critiques that differ from my own perspectives to change my ideas,We get a lot of feedback from instructors so that usually helps but when I need more feedback I talk to the people around me ,4,,3,,,,,,,,,,,,,,3-5,Neither easy nor difficult,,,4,,3,,,,3,,3,,,,4,,3,,,,,,,,25,,,0,"I would dedicate time earlier to work on the project, so that I can do both.",,Female,"White, Caucasian",,Undecided,,1,No,No,Graduate Degree,
13,,Student,2000 Level/ YR 2,"The building kinda sucks not very clean and useful, old design not inspiring. It’s really annoying to have to drag all my work from home then all the way to campus and not have a dedicated locked space so theft is not an option.",The assignments are interesting and fun and the teachers are nice and very smart,Time management. I tend to not be late when it’s on zoom. More student conversation in class during work time in person no talking on zoom,,,,,"Expense of models,Lack of sleep,Juggling other responsibilities",,"Vocabulary,Judgment of audience,Knowledge of subject matter,Clear explanation of design thinking,Appearance",,200,,,2,2,,,,,4,3,,,,,,Yes because I feel like I need to do perfect and to get all the drawings right instead of learning from a failed project. It’s about experience and feedback not about grades.  ,,,,3,3,,,,,,,1,5,,,,,,,,"All students are encouraged to do their best,Competitive,Only excellence is encouraged",,Seems like every student is trying to be better than the other and have the teacher like their project more. It’s creative work though,,,,,,,1,4,,,,,,,,I take the input and offer feedback for them as well.,,Small group work,I’m learning more about how the world works,,,,,2,3,,,,,2,3,,,,,,,,,,I want the assignment to be completed to meet all requirements.,,,,3,3,2,3,,,,,,,,"I want to meet all requirements.,I want to better understand the instructor's interpretation of the assignment.,I want to better understand my interpretation of the assignment.",,,,4,3,3,,3,,"It impacts my family as well as myself, if I do not succeed",,It would be unlikely for me to include elements from my background in the project,,,,,2,2,,,,,,,,,,,,,I sometimes seek reinforcements for the present ideas,I like feedback it helps me understand my project from different views. I like getting feedback from my family and friends who know nothing about architecture ,,,,3,,3,,,,,,,,,,,1-2,,"Waiting for a desk critique,Doing design work on my computer,Sketching",,,,,4,,2,2,,2,,,,3,,3,,,,1,,5,,40,Students often like uninterrupted blocks of time to work on projects.,,27,I would not go to the family event and focus on the project.,,Female,"African American, African, Black, Caribbean,White, Caucasian",,Architecture,,2,No,No,Graduate Degree,
14,,Student,4000 Level/ YR 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
